project,year,fellow,region,match,corrected
"
              To study Asian consumer requirements, business etiquette and cultural awareness imperatives to win Australia's market share in Asia - Japan, Korea, China, Hong Kong, Indonesia
",1994,"MORRISON, Wendy",Hong Kong,no,China
"
              To investigate ways of establishing high professional, cultural and ethical standards as a defence against corruption in police forces - Malaysia, Hong Kong, USA, UK, Canada
",1993,"O'DONNELL, James",Hong Kong,no,China
"
              To study the training of opera singers - Hong Kong, Italy, USA, UK
",1993,"ROBERTSON, Linnhe",Hong Kong,no,China
"
              To investigate the latest developments in drug detection by dogs - UK, Sweden, Holland, Germany and USA
",1993,"WALSH, Graham",Holland,no,Netherlands
"
              To investigate the latest developments in drug detection by dogs - UK, Sweden, Holland, Germany and USA
",1993,"WALSH, Graham",Germany and USA,no,USA
"
              To investigate the latest developments in drug detection by dogs - UK, Sweden, Holland, Germany and USA
",1993,"WALSH, Graham",Germany and USA,no,Germany
"
              To examine first hand and gain practical working experience in police and related agency practices aimed at combating organised crime within the Triad Movement - Hong Kong
",1992,"HIGGINS, Gary",Hong Kong,no,China
"
              To examine the application of silviculture in native forests to satisfy jointly the needs of production, aesthetics and environmental values now and into the future - USA, Germany, Sweden,
",1991,"BRADSHAW, Jack",,no,NA
"
              To study the role of corruption in organised crime and prevention strategies that will assist in the suppression of organised crime in Australia - Hong Kong, USA, Canada, Italy
",1991,"CASTLEHOW, Graeme",Hong Kong,no,China
"
              To investigate emerging clinical application of Doppler ultrasound in the diagnosis of disease and evaluation of pregnancy - USA, Yugoslavia, Netherlands, UK
",1991,"GRIFFITHS, Kaye",Yugoslavia,no,NA
"
              To research the latest techniques in fraud investigation - Hong Kong, UK
",1991,"NEYENHUYS, Harry",Hong Kong,no,China
"
              To study counter-disaster and civil defence practices - Hong Kong, USA, Canada, UK
",1991,"WINDSOR, Allan",Hong Kong,no,China
"
              To undertake a thorough investigation of woodwind reed production in Europe, with a view to establishing an Australian industry - France, Spain, West Germany
",1990,"BEARE, Michael",West Germany,no,Germany
"
              The Australian Institute of Parks and Recreation Education Trust Fund Churchill Fellowship to study public education techniques applied in marine reserves to enhance the education, recreational and inspirational value of these places to the public - UK, E
",1990,"KELLY, Geoffrey",E,no,NA
"
              To study the different ways of improving relations between diverse community groups - Canada, France, UK, Singapore (Partially supported by the Chinese community of WA through the Chung Wah Association)
",1990,"NGUI, Matthias",Singapore (Partially supported by the Chinese community of WA through the Chung Wah Association),no,Singapore
"
              The WA Naval Reserve Cadet Churchill Fellowship to investigate naval cadet training to ensure that the future directions of our Naval Reserve Cadet Scheme provide the best possible training in citizenship and seamanship - New Zealand, USA, UK, Canada, Net
",1990,"REEVES, Gavin",Net,no,Netherlands
"
              To research sweet persimmon culture and marketing and early apple quality assurance and testing - Hong Kong, Singapore, Japan, USA, Israel, Italy
",1990,"SILM, Michael",Hong Kong,no,China
"
              To develop a deeper understanding of the neuromotor (therapy) components of seating assessment and to update knowledge specifically in the areas of research related to assessment procedures, equipment design, seating fabrication and service delivery - UK,
",1990,"VASSALLO, Sandra",,no,NA
"
              To study the diagnosis and management of asbestos related cancer - UK, Netherlands (Financially supported by the University of WA and the WA Cancer Council Inc)
",1990,"WHITAKER, Darrel",Netherlands (Financially supported by the University of WA and the WA Cancer Council Inc),no,Netherlands
"
              To study the various national styles and finer technical details of clarinet playing with particular emphasis on orchestral techniques in both orchestral solo repertoire and the intricacies of woodwind sectional playing - USA, Netherlands, Germany, Austri
",1989,"DOBELL, Lawrence",Austri,no,Austria
"
              To study comparative methods for combating organised crime - Hong Kong, UK, France, USA, Canada
",1989,"HADGKISS AM, Nigel",Hong Kong,no,China
"
              To study all aspects of selected children's choirs overseas to gain a better understanding of how to create such choirs in Australia - UK, Hungary, Sweden, Finland, USA, Hong Kong
",1989,"O'LEARY OAM, Mark",Hong Kong,no,China
"
              The Kern Corporation Churchill Fellowship to study recent developments in the design and construction of modern building forms with particular emphasis on prefabricated technology - Hong Kong, USA
",1989,"POLLARD, Anthony",Hong Kong,no,China
"
              To study the methods used by overseas law enforcement agencies in the combating of organised crime - USA, Canada, Japan, Taiwan, Hong Kong
",1989,"YEUNG, Kai",Hong Kong,no,China
"
              To study all aspects of rice production at major research institutions and to apply the knowledge gained to the development of the North Queensland rice industry - Phillipines, Japan, USA, Columbia
",1988,"BORRELL, Andrew",Phillipines,no,Philippines
"
              To study all aspects of rice production at major research institutions and to apply the knowledge gained to the development of the North Queensland rice industry - Phillipines, Japan, USA, Columbia
",1988,"BORRELL, Andrew",Columbia,no,Colombia
"
              The Samuel and Eileen Glyuas Churchill Fellowship to undertake a three months study programme in order to develop and apply new technology to pasture disease research in North Queensland - Columbia, Brazil
",1988,"DAVIS, Robert",Columbia,no,Colombia
"
              To study life support systems and management of public aquariums, particularly those aquariums with successful coral reef displays - USA, Canada, Japan, Hong Kong
",1988,"HARRIOTT, Vicki",Hong Kong,no,China
"
              The Australian War Memorial Churchill Fellowship to study federal and provincial museum policies and the implementation of extension services and to study display, education and information programmes and their use of audio visual and computer systems - U
",1988,"WALLACE, Greg",U,no,NA
"
              To survey water use management and agroforestry expertise outside Australia to determine its application to Western Australia, with particular reference to the further development of integrated whole farm/whole landscape system planning - USA, UK, Netherl
",1988,"WATKINS, Ronald",Netherl,no,Netherlands
"
              To examine the formulation and implementation of government policy on multicultural programming for pre-school children so as to bring new insight in the provision of services to meet the needs of Australia's multicultural society - USA, UK, Canada, Singa
",1987,"MILLIKAN OAM, Janice",Singa,no,Singapore
