"","project","year","fellow"
"3605","
              To study the range and variety of educational programmes for physically handicapped students with special reference to aspects of integrating the handicapped in normal schools and the community - UK, Norway, Denmark, Sweden
            ","1979","SPENCER, Stanley"
"3606","
              To study overseas developments in the various levels of care and rehabilitation in the field of homelessness and associated alcoholism - USA, Canada, UK, Finland, Switzerland, Belgium, France
            ","1979","TOWERS OAM , Noreen"
"3607","
              To study developments and to undertake courses in the applications of satellite remote sensing to rangeland resource management - USA, Canada
            ","1979","TUPPER, Graeme"
"3608","
              To study new nursery practices in relation to deciduous fruit trees and grapevines and evaluate those varieties suitable to Australia - USA, UK, Netherlands, Italy, Israel
            ","1979","VAN KLAVEREN, John"
"3609","
              To observe operating theatre techniques and theatre management in traumatic and vascular surgery instrumentation and the set up of trauma theatres - USA, UK, Canada
            ","1979","WALKER, Margaret"
"3610","
              To study overseas developments in the provision of specially designed aids for the handicapped - USA, UK, Sweden, France
            ","1979","WINSTON, George"
"3611","
              To study cultural and management practices for the production of Lucern (Alfalfa) seed - USA
            ","1979","WRIGHT, Geoffrey"
"3612","
              To study developments in avocado production in both nursery and field - Israel, USA
            ","1978","ANDERSON AM, Graham"
"3613","
              To study overseas developments in the integration of human and material community resources in technical and further education - New Zealand, UK, Canada, Germany, Sweden, USA
            ","1978","BAKER, Ian"
"3614","
              To study new overseas developments in job creation, training, career service and subsidy programmes as applicable to unemployed young people - USA, UK, Canada
            ","1978","BAKER, Paul"
"3615","
              To study developments and programmes relating to the psychiatric treatment of criminal offenders with particular emphasis on rehabilitation and correction - USA, UK, Denmark, Sweden
            ","1978","BARNES, David"
"3616","
              To examine laboratory and field techniques used to evaluate wheat varieties which require less phosphorus to produce high yields and have a more acceptable balance of nutrients - USA, UK, Sweden, Denmark
            ","1978","BATTEN, Graeme"
"3617","
              To study overseas developments in commercial game bird breeding and its tourist potential - USA, UK, Germany
            ","1978","BEER, Colin"
"3618","
              To study developments in the European stud sheep industry - Russia, Finland, Germany, France, UK, Netherlands, Denmark, Sweden
            ","1978","BINNS, Leslie"
"3619","
              To study the administration of large public numismatic collections with a view to applying knowledge gained to the improvement of the State collection of coins and medals held at the Museum of Applied Arts and Sciences, Sydney - USA
            ","1978","BOLAND, Harold"
"3620","
              To research biographical information relating to early Tasmanian artists and their art - UK, France, Norway, Germany
            ","1978","BROWN AM, George"
"3621","
              To study the organisation and operating methods of Volunteer Bureaux - Israel, Netherlands, UK, USA, Canada
            ","1978","BUCK, Heather"
"3622","
              To study overseas developments in education, training and research within the coal mining industry - UK, USA
            ","1978","BUSCH, Noel"
"3623","
              To study overseas developments in national park interpretation with particular reference to environmental education - USA, UK, Canada
            ","1978","CARTER, Rodney"
"3624","
              To study means by which the biomedical engineer may best contribute advanced mathematical and engineering skills to the medical research team, particularly in areas of community and occupational health and rehabilitation - USA
            ","1978","CELLER, Branko"
"3625","
              To study overseas developments in legal education for non-lawyers - UK, USA, Canada
            ","1978","CHURCHMAN, Susan"
"3626","
              To study methods of teaching water safety and resuscitation - New Zealand, USA, Canada, UK, Germany, Denmark, Switzerland
            ","1978","COLQUHOUN, Dennis"
"3627","
              To study innovations and developments in Outward Bound methods and techniques - USA, UK, Canada, Germany
            ","1978","DUTTON, John"
"3628","
              To study developments in infra-red astronomy with particular regard to the engineering aspects of detectors and signal processing - USA
            ","1978","ELLIS, Michael"
"3629","
              To study overseas developments in project management in the construction industry with particular interests in semi-government administration and the private sector - USA, UK, Germany, Canada
            ","1978","FARMER, Brian"
"3630","
              To study developments in the preparation of recorded educational material, books and general information for visually handicapped people - UK, USA, Greece, Italy, Germany, Netherlands, Sweden, Canada, Japan
            ","1978","FIALIDES, June"
"3631","
              To obtain first hand knowledge of developments and trends in the use of root nodule bacteria to improve nitrogen fixation by legume crops - New Zealand, USA, Canada
            ","1978","GAULT, Robert"
"3632","
              To undertake a post-graduate course in vocal studies at the Royal College of Music - UK
            ","1978","GODFREY, Graham"
"3633","
              To study curriculum and teacher education developments in multicultural education - Canada, USA
            ","1978","GRAY, James"
"3634","
              To undertake a one year post-graduate course in piano performance at the Royal College of Music, studying under John Lill and Claudio Arrau - UK
            ","1978","HALLIDAY, Anthony"
"3635","
              To study developments in community based treatment as an alternative to residential care, with  particular reference to teenage girls and their specific problems in unemployment, accommodation and promiscuity - UK
            ","1978","HARRIS (NOW CORBY), Patricia"
"3636","
              To undertake a diploma course in farriery and extension study in pathological horse shoeing and teaching techniques at Oklahoma Farriers College - USA
            ","1978","HODGE, Miles"
"3637","
              To study the administration and course content of apprenticeship and industrial training - Germany, UK
            ","1978","HOPGOOD, Brian"
"3638","
              To study the problems and solutions to Indigenous people moving from ""developed"" communities back to their tribal lands with particular emphasis on the readjustment process and land ownership - New Zealand, USA
            ","1978","HOWLEY OAM, MSC, Joseph"
"3639","
              To study overseas developments in mosquito research and control - UK, USA, Pakistan
            ","1978","KAY, Brian"
"3640","
              To study models and methods to enhance the Holyoake programme and the residential educational and information services and facilities for alcohol and drug dependent persons and their families - USA
            ","1978","KEATING, John"
"3641","
              To attend the international rangeland conference in Colorado and to study rangeland reclamation techniques - USA, Israel, India
            ","1978","KEETCH, Robert"
"3642","
              To study techniques and developments in the aural method of educating pre-school and primary age deaf children - USA, UK, Canada
            ","1978","KENNEDY (NOW UPTON), Susan"
"3643","
              To undertake a course in domiciliary care of the dying at St. Christopher's Hospice, London, and to study developments in co-ordinating domiciliary care - UK, USA, Netherlands
            ","1978","KINGSBURY, Katherine"
"3644","
              To undertake a higher degree relating to the organ and its music - Austria
            ","1978","LEIGHTON, Brett"
"3645","
              To study overseas developments in small claims courts and tribunals and the committee systems - Canada, UK, USA, Sweden, Denmark, Hong Kong
            ","1978","LEVINE, Michael"
"3646","
              To study the latest developments in agricultural show programming and preparation and the latest techniques in pedigree recording - UK, Canada
            ","1978","MACDONALD, Robert"
"3647","
              To study developments in Guiding (Girl Guides) for the handicapped - UK, Canada, USA, New Zealand
            ","1978","MACGILLIVRAY, Linda"
"3648","
              To study the use of herbicides in reduced tillage and no tillage, double-cropping systems of farming called opportunity cropping - USA
            ","1978","MARTIN, William"
"3649","
              To study and discuss overseas developments in cardio-pulmonary perfusion, myocardial preservation, counter-pulsation techniques and components - USA, UK, Denmark
            ","1978","MASON, Keith"
"3650","
              To study the playing of brass instruments at Indiana University - USA
            ","1978","MATTHEWS, Robert"
"3651","
              To study the operation of citizen advocacy and similar programmes as applied in support of retarded people's welfare - Canada, USA, UK, Denmark, Sweden
            ","1978","MORRIS, Neville"
"3652","
              To study overseas developments from a Theatre Director's viewpoint, in theatre and drama - UK, France, Germany, Belgium, Netherlands, Denmark, Sweden
            ","1978","NEEME AM, Aarne"
"3653","
              To complete the Harvard University Trade Union Training Programme at Boston - USA
            ","1978","O'CONNELL, Patrick"
"3654","
              To study developments in community involvement in education - USA
            ","1978","O'DONOHUE, John"
"3655","
              To study methods of fish processing with the aim of developing methods in Australia of more fully utilising some species of fish - UK, Poland
            ","1978","PARRISH, Patrick"
"3656","
              To study overseas developments in communication techniques for non-verbal handicapped children - UK, USA, Canada
            ","1978","PHILIPS, Sharna"
"3657","
              To study the techniques of nursing cancer patients (Oncology) - USA, UK
            ","1978","PIASZCZYK, Anne"
"3658","
              To undertake counter-tenor voice production study with Paul Esswood in London and to study medieval and renaissance music with members of the early music quartet at the Schola Cantorum, Basle  - UK, Switzerland
            ","1978","PUSHEE, Graham"
"3659","
              To attend the Senior Command course at the Fire Services College followed by observation of fire prevention methods in hospitals - UK
            ","1978","REAY, Bill"
"3660","
              To study overseas developments in the field of wildlife research with particular emphasis on wetland management and wildlife film making - Germany, UK, USA, Canada
            ","1978","RIGGERT, Thomas"
"3661","
              To study developments in the manufacture, use and maintenance of all victim rescue equipment and emergency procedures for evacuation and disaster control in multi-storey hospital buildings - USA, UK
            ","1978","ROSE, Lionel"
"3662","
              To study new techniques and scientific advances in forensic science and the scientific investigation of crime with particular reference to police forensic laboratories, their equipment methods, staff structures and the deployment of that staff - UK, Canad
            ","1978","SANDRY, Bruce"
"3663","
              To study the various categories of radio broadcasting with particular emphasis on community based, education, ethnic and other special purpose stations - USA
            ","1978","SATCHELL, Philip"
"3664","
              To study overseas developments of the location of churches in new towns and suburbs - UK, Sweden, Denmark, USA, Canada
            ","1978","SAWYER, Michael"
"3665","
              To study overseas developments in preventative occupational health and safety in private industry, particularly in the meat industry - USA, UK, Netherlands, Germany, Switzerland, Yugoslavia
            ","1978","SCOTT, Robert"
"3666","
              To study how selected museums help meet the educational and recreational needs of the communities they serve - UK, USA, Canada, Denmark, Germany, Mexico
            ","1978","SHAW, Geoffrey"
"3667","
              To study overseas developments in regional employment promotion and employment planning for non-metropolitan areas - Italy, France, Ireland, UK
            ","1978","SIDES, Hadley"
"3668","
              To study developments in the training of field and laboratory earth science technicians and the role they play - Canada, UK
            ","1978","SMART, Phillip"
"3669","
              To study latest overseas developments in the provision of residential and/or vocational facilities for autistic adolescents and young adults - USA, UK, France
            ","1978","SPENCE, Eleanor"
"3670","
              To study developments in the field of learning disabilities of technical college students and concomitantly undertake a Master of Education course in adult education at the University of Manchester - UK
            ","1978","STANDFAST, Trevor"
"3671","
              To study overseas developments in research, remediation and facilities for young children with clumsiness, hyperactivity and related problems which inhibit educational progress - USA, UK
            ","1978","STEINBERG, Margaret"
"3672","
              To study overseas developments in on-the-job training programmes in engineering workshops - USA, Germany, Sweden, Switzerland, Canada
            ","1978","SYKES, Edward"
"3673","
              To assess in relation to the Australian situation the relevance of recent developments of programmes for the welfare of homeless persons - UK, USA, Netherlands, Canada
            ","1978","U'REN, Robert"
"3674","
              To observe the organisation of parent involvement in the home management and education of young deaf children - USA, Canada, UK, Netherlands
            ","1978","VIDLER, Mary"
"3675","
              To undertake the diploma course in choreology at the Institute of Choreology in London - UK
            ","1978","WALKER, Wendy"
"3676","
              To study the district nursing aspects of domiciliary nursing and hospital liaison - UK, Sweden, Canada
            ","1978","WALLBRIDGE (NOW HARTWIG), Barbara"
"3677","
              To investigate and gain experience in the reconstruction and upgrading of railway tracks - Japan, Germany, France, UK, Canada, USA
            ","1978","WANNAN, Geoffrey"
"3678","
              To study the techniques of ornamental horticulture in semi-arid areas - USA, Chile, South Africa, Israel
            ","1978","ZWAR OAM, John"
"3679","
              To study latest overseas developments in electrical-workshop design procedures and costing - UK, France, USA, Germany
            ","1977","AMBLER, Kenneth"
"3680","
              To investigate how ethnic groups participate in the affairs of their host country with special emphasis on the place of ethnic radio and television in integrating and informing these groups - Switzerland, UK, USA, Canada, Italy
            ","1977","ARENA AM MLC, Franca"
"3681","
              To study and observe overseas developments in industrial relations in public service areas - UK, USA, Norway, Sweden, Germany
            ","1977","ARMSTRONG, Hugh"
"3682","
              To study the methods used overseas in the detection and prevention of adverse reactions to medically prescribed drugs - USA, UK, France, Switzerland, Germany, Italy
            ","1977","BERBATIS, Constantine"
"3683","
              To study care services, aids, training and administration in overseas low-vision clinics - USA, Canada, UK
            ","1977","BIGGS, Margaret"
"3684","
              To study recent overseas developments in the techniques of railway track maintenance required to meet high speed and high density situations - Germany, France, UK
            ","1977","BOBRIDGE, Stanley"
"3685","
              To investigate overseas methods of teaching organ music at tertiary level and the use of the organ as an enrichment instrument for university and civic communities - UK, France, Germany, Austria, Switzerland
            ","1977","BOUGHEN, Robert"
"3686","
              To undertake a course of study for the Diploma of Tropical Medicine at Liverpool - UK
            ","1977","BRIDGE, Douglas"
"3687","
              To complete the course for Diploma in Criminology at Cambridge University followed by research in judicial administration at Birmingham - UK
            ","1977","BRIESE AO, Clarence"
"3688","
              To study overseas farm business management extension with particular emphasis on the part played by economists and computers - Canada, USA, UK
            ","1977","BUFFIER, Barry"
"3689","
              To study the design of nets and associated equipment used in trawling for demersal fish - Canada, UK
            ","1977","BURBURY, Richard"
"3690","
              To undertake the diploma course in Conservation Studies at the Institute of Advanced Architectural Studies - USA
            ","1977","CAMPBELL, Robin"
"3691","
              To study the propagation, culture and development to maturity of shellfish, in partucular abalone - USA, Japan, Mexico
            ","1977","CUTHBERTSON, Adrian"
"3692","
              To study renal diseases, in general and glomerulonephritis, in particular, at Guy's Hospital, London - UK
            ","1977","DE JERSEY, Peter"
"3693","
              To study recent overseas developments in social planning procedures and their results - USA, UK
            ","1977","DE MARIA, William"
"3694","
              To study at theatres for the deaf in order to learn how to teach deaf children and adolescents to act and mime - USA, UK, Sweden
            ","1977","DONNELL, Kenneth"
"3695","
              To study overseas methods in aseptic processing and packaging of foods - UK, USA, Norway, Netherlands
            ","1977","DOUGLASS, James"
"3696","
              To undertake an intensive study of applied horse nutrition and ration formulation combined with effluent utilisation and disposal - USA
            ","1977","FLOCKHART, Richard"
"3697","
              To study overseas methods of investigation, prosecution and trial of white collar crime, more particularly corporate crime involving fraud - UK, USA, Canada
            ","1977","FORD, Joseph"
"3698","
              To study overseas developments in the major factors associated with supplying food in bulk to larger numbers of people in institutions - USA
            ","1977","GALVIN OAM, William"
"3699","
              To study early French keyboard music under Mary Patts and to study and play early harpsichords - UK, Belgium, France
            ","1977","GOODE, Robert"
"3700","
              To study techniques of fire prevention and supporting legislation mainly concerning high rise buildings - USA, UK, Hong Kong
            ","1977","HALL AFSM, Ronald"
"3701","
              To study recent developments in techniques of dental prosthetics manufacture - Switzerland, Germany
            ","1977","HARRIS, Barry"
"3702","
              To study the Kodaly method of music teaching at Liszt Academy - Hungary
            ","1977","HERIOT OAM, Jean"
"3703","
              To study overseas developments in family planning education particularly in relation to youth programmes - UK, Italy, Hong Kong, Singapore, Malaysia
            ","1977","HEWITT (NOW MAVROMATIS), Patricia"
"3704","
              To study the operation of the Juvenile Aid Bureau services -  UK, USA, New Zealand
            ","1977","HORMAN AM, William"
"3705","
              To gain practical experience in overseas institutions undertaking research in military history and defence studies - USA, UK
            ","1977","HORNER AM, David"
"3706","
              To undertake first year of 2-year post-graduate pianoforte course at Royal College of Music, London - (Extra curricula study during vacations) - UK, Germany, France, Italy, Austria
            ","1977","HORVAT, Leonie"
"3707","
              To study the Blissymbolics Communication Programme at the Ontario Crippled Children's Centre with the aid of imparting the techniques to teachers of children with physical, hearing and speech impediments - Canada
            ","1977","HURREN, Joan"
"3708","
              To study economic development programmes in ethnic communities overseas - USA
            ","1977","JACKOMOS, Alick"
"3709","
              To study the overseas crop management of cotton growing and harvesting with particular emphasis on pest control - USA
            ","1977","LEHMANN, Christopher"
"3710","
              To study the revegetation of coastal land degraded by population pressures - UK, USA, Netherlands, Germany
            ","1977","LEWIS, John"
"3711","
              To study overseas methods of performance recording and progeny-testing of registered herd beef bulls - UK, USA, France, Germany, Canada
            ","1977","MCARTHUR, John"
"3712","
              To study television educational programmes at television centres - UK
            ","1977","MCGOWAN, John"
"3713","
              To undertake a special English speaking course at the Orff Institute in Austria and to investigate music teaching programmes - Austria, Switzerland, Germany, Italy
            ","1977","MORONEY, Patricia"
"3714","
              To study the work of volunteer probation officers and their co-operation with state systems - USA, Canada
            ","1977","MOUNTAIN, Penelope"
"3715","
              To study all aspects of the provision of radio and navigational aids for civil aircraft at Australian Department of Transport (Air) Central and Regional Office - Australia
            ","1977","MUAP, David"
"3716","
              To visit airlines of developing countries to study those aspects of their operations that are relevant to Air Nuigini - Indonesia, Thailand, Burma, India, Pakistan, Malaysia, Philippines
            ","1977","MURDOCH, Arthur"
"3717","
              To undertake a Samaritan training course in counselling and befriending people - UK
            ","1977","MURPHY AM, Peter"
"3718","
              To study oboe performances under Heinz Holliger - Germany
            ","1977","NUTTALL, David"
"3719","
              To investigate the design, construction, operation and maintenance of urban electrical distribution systems - USA
            ","1977","PEAKE, Owen"
"3720","
              To study mezzotint print making at the Brera Academy, Milan - Italy
            ","1977","PEEBLES, Graeme"
"3721","
              To sttudy trumpet and Baroque music under Edward Tarr - Switzerland
            ","1977","PLUNKETT, Paul"
"3722","
              To study methods of growing vegetables and flowers to produce seeds and bulbs - UK, USA, Germany, Netherlands
            ","1977","PREECE, Thomas"
"3723","
              To study growing and management techniques associated with the wine producing industry - Italy, Germany, France
            ","1977","PUGLISI, Angelo"
"3724","
              To study the work of overseas organisations concerned with the treatment of rheumatism and arthritis - US, UK, Canada
            ","1977","SEAGER, Pamela"
"3725","
              To study the piano under Mr Bela Siki, Professor of Music, University of Washington, Seattle - USA
            ","1977","SELBY AM, Kathryn"
"3726","
              To study overseas developments in advanced radiographic techniques more particularly in the use of the scanner which performs Computerised Axial Tomography (CAT) - UK, USA
            ","1977","SHIRLEY, Ursula"
"3727","
              To study recent overseas developments in early childhood education and services - USA
            ","1977","SIMONS, Jenny"
"3728","
              To study the latest overseas innovations and techniques in specialist low vision clinics - USA, UK
            ","1977","SIMS AM, Norman"
"3729","
              To exchange ideas and data with medical research units which specialise in the education of patients with chronic disorders, especially diabetes - USA, UK, Canada
            ","1977","SULWAY, Martyn"
"3730","
              To study first hand administration, course content and methods of training apprentices in horticulture - UK, Austria, Netherlands, Germany
            ","1977","THOMAS, Jack"
"3731","
              To study latest developments overseas in violin making and associated aspects of the trade - UK, Germany, Italy, USA
            ","1977","THOMPSON, Rex"
"3732","
              To study recent overseas developments in artifical eye technology (ocular prosthetics) and in particular the manufacture of sonic eyes - USA, France, UK
            ","1977","TREFRY, Clifford"
"3733","
              To study the production and development techniques of audiovisual material for use in schools - USA, UK, Canada
            ","1977","TURNBULL (NOW COWDEN), Frances"
"3734","
              To study the editorial use of computers in newspaper/magazine publishing - USA
            ","1977","WANNAN, Susan"
"3735","
              To study advance studies of parasitic diseases - USA, Japan
            ","1977","WELCH, John"
"3736","
              To investigate ways of broadening young people's access to the performing arts through the organised education system - UK, USA, Germany, Austria
            ","1977","WESTWOOD, Christine"
"3737","
              To study overseas methods used in the conservation, preservation and restoration of cultural material - Italy, UK
            ","1977","WOOD, David"
"3738","
              To attend a detective training school at New Scotland Yard, London, followed by attachment to the Fraud Squad - UK
            ","1977","ZAKNICH, James"
"3739","
              To study the rapidly growing Middle East market for agricultural products - Kuwait, Iran, Saudi Arabia, Egypt, Libya
            ","1977","ZEKULICH, Michael"
"3740","
              To observe overseas developments in the trends and scope of the work of Regular Army Chaplains - USA, UK, Canada, Germany
            ","1976","ABBOTT OAM, Douglas"
"3741","
              To investigate alternative forms of school organisation and curriculum structure which prepare students for citizenship and vocation through work experience - UK, Italy
            ","1976","ADAMS, Leslie"
"3742","
              To gather relevant proven information concerning the operation and safety of small boats - UK, USA, Netherlands, Canada, Germany, Ireland
            ","1976","APPLEBEE, Raymond"
"3743","
              To study the organisational structure of water pollution control and noise control authorities for the successful abatement of water pollution and the latest methods and guidelines relating to noise control in industrial sources - UK, USA
            ","1976","ARMITT, John"
"3744","
              To study research and research findings in laser technology in overseas countries - USA, UK, Japan, Germany, Russia
            ","1976","BALIN, Boris"
"3745","
              To make observations and receive informal training in taxidermy in overseas countries - UK, Canada, USA
            ","1976","BARKER, Harrison"
"3746","
              To observe the latest scientific developments and teaching techniques in underwater diving - USA
            ","1976","BROOKING, Timothy"
"3747","
              To gain overseas experience in new developments and methods in forensic odontology - UK, Japan, Yugoslavia, Denmark
            ","1976","BROWN AM, Kenneth"
"3748","
              To acquire broader knowledge of haemodialysis principles and practice particularly in relation to home dialysis training for children - New Zealand, USA, UK
            ","1976","CAMPBELL, Yvonne"
"3749","
              To study for one year in the Degre Superieur Class at Le Conservatoire National De Region in conjunction with Les Percussions De Strasbourg  - France
            ","1976","COBB, Peter"
"3750","
              To undertake a review of recent progress in the most prominent environmental research establishments - USA
            ","1976","CONNELL, Desley"
"3751","
              To study types of accommodation provided for university students - Netherlands, Denmark, Switzerland, UK, Ireland, USA, Canada
            ","1976","COONEY, Angela"
"3752","
              To improve knowledge of all aspects of perfumery mainly by examination of products of perfume from botanic source to completed product and to examine courses available for training perfumers - UK, USA
            ","1976","COOPER, Lloyd"
"3753","
              To study recent overseas developments in child welfare institutions - UK, USA
            ","1976","DAFF, Helena"
"3754","
              To study recent overseas developments in dental prosthetic services by working with scientists and technicians operating in that field - Germany, Switzerland
            ","1976","DALLA, Raymond"
"3755","
              To study and gain extra knowledge and understanding of conducting, coaching techniques and training in operas particularly in respect  of ""new"" operas - UK, Germany, Switzerland, Sweden, Austria
            ","1976","DIVALL AO, Richard"
"3756","
              To examine and study overseas rehabilitation programmes in respect of such aspects as community needs, staff participation and training of nurses - UK, USA, Canada
            ","1976","EDMUNDS-HILL, Pamela"
"3757","
              To study overseas methods in the breeding and management of Angora Goats - USA
            ","1976","FLETCHER, Peter"
"3758","
              To gain knowledge, training and experience in the field of paediatric medicine - USA
            ","1976","FREEMAN, Jillian"
"3759","
              To gain background information and knowledge of the general principles governing career education and work experience programmes - UK, USA, Canada, Sweden
            ","1976","GAMBLEY, Margaret"
"3760","
              To investigate insectary biological services operating overseas for the control of citrus pests - USA
            ","1976","GEORGE, Ronald"
"3761","
              To observe first hand the cultural heritage of silversmithing - Denmark, Norway, UK
            ","1976","HALE, John"
"3762","
              To study overseas developments in educational programmes for isolated children - USA
            ","1976","HARLEY, Margaret"
"3763","
              To undertake an overseas investigation into community involvement in education with particular reference to parental participation - UK, Denmark, USA, Canada
            ","1976","HELYAR, Reginald"
"3764","
              To study recent developments in overseas countries in respect of ""The Enforcement of Moral Laws"" - UK, Norway, Denmark
            ","1976","INNES AM, Heather"
"3765","
              To study the methods used for training apprentices - UK, Netherlands, Germany, France
            ","1976","JACOBS, Lawrence"
"3766","
              To observe overseas developments to improve practical skill and theoretical knowledge in the field of precision optics - UK, USA, France, Switzerland
            ","1976","JAMES, William"
"3767","
              To study the operation of plant disease forecasting services and the nature of research programmes aimed at developing such services - USA, Italy, Germany, Switzerland, France, Canada
            ","1976","KABLE, Phillip"
"3768","
              To develop further ability as artist-craftsman and educator in the specialised field of jewellery-making, gold and silversmithing and associated design studies - UK, Germany
            ","1976","KEOGH, Norman"
"3769","
              To study several different aspects of flute playing - France
            ","1976","KOCH AM, Elizabeth"
"3770","
              To gain overseas experience helpful to work situations and the problems experienced by newspaper compositors - Hong Kong, Singapore, Philippines
            ","1976","KOHU, Mala"
"3771","
              To research and evaluate overseas trends in the industrial relations area and study the effectiveness of existing ""worker participation"" schemes - Canada, UK, Norway, Germany
            ","1976","LAVEY, Desmond"
"3772","
              To study recent overseas developments in Veterinary Clinical Pathology - UK, USA
            ","1976","LEPHERD, Evan"
"3773","
              To update knowledge on the type, financial cost and procedures used by small overseas airlines changing from government subsidy-supported, to self reliant - Canada, Brazil, UK, USA
            ","1976","LEVIN, Paul"
"3774","
              To study recent overseas developments in screen printing - USA, Canada, Japan
            ","1976","LINDOP, Kenneth"
"3775","
              To investigate selected overseas properties such as aspects of farming, on-farm feed utilisation, feed planning and management strategies under intensive dairying and beef situations - New Zealand
            ","1976","MAHER, Kevin"
"3776","
              To study and gain first hand information from overseas authorities on various aspects of acoustic legislation - USA, UK, Germany, Switzerland, Sweden, Japan
            ","1976","MATHER, Carolyn"
"3777","
              To study new mediums and modern developments in letterpress-making methods - USA, UK, Germany
            ","1976","MCARDLE, Max"
"3778","
              To investigate promotion-distribution activities for children's films and television series in overseas centres - France, Canada, USA, UK,
            ","1976","MCDOWALL, Elizabeth"
"3779","
              To obtain knowledge and genetic material relevant to the major problems of the Gladious flower-growing industry - Israel, USA, South Africa
            ","1976","MCKAY, Margaret"
"3780","
              To investigate overseas methods and techniques for reducing failure through rejection by the recipient in organ transplant surgery - USA, UK, France, Germany
            ","1976","MEARS, Douglas"
"3781","
              To investigate techniques of radio production not used at present in Australia - UK, Germany, Switzerland, Austria
            ","1976","PEACH, Robert"
"3782","
              To study and investigate the establishment of bomb disposal, explosive reconnaissance, explosive transportation and Render Safe Procedures as associated with police services and police responsibility - UK, USA, Hong Kong, Japan
            ","1976","READ, Maxwell"
"3783","
              To investigate methods for the complete driver-training of disabled persons - UK, USA, Canada
            ","1976","REECE, Margarette"
"3784","
              To study the efficient utilisation of Optical Character Recognition in relation to semi and fully computerised phototypesetting in the graphic arts and publishing fields - USA, UK, Germany
            ","1976","REID, David"
"3785","
              To study the application and administration of military law, particularly in respect to the institution of uniform disciplinary code in the services in Australia - USA, Canada, UK
            ","1976","ROLFE, William"
"3786","
              To study overseas developments which may have a bearing on the development and use of an artificial ""sphincter"" now being tested on patients having colostomies or iliostomies - USA, UK
            ","1976","ROSEN OAM, Isaac"
"3787","
              To receive advanced training in glazing techniques, wood-firing kilns and clay analysis - Australia
            ","1976","ROVORI, Havao"
"3788","
              To observe international standards of management and especially safety precautions in operating theatre management - Hong Kong, Malaysia, India, Australia
            ","1976","SAKAIYA, Elizabeth"
"3789","
              To study developments in improved assessment and management of children with auditory defects and the earlier detection of deafness - USA, UK
            ","1976","SANCHEZ, Linnett"
"3790","
              To gain increased knowledge in modern trends in all aspects of radiography - USA, UK, Sweden
            ","1976","SERICO, Nurdon"
"3791","
              To improve ability in timber technology especially in the identification of Papua New Guinea timber species as well as their properties and uses - Australia, New Zealand, Fiji
            ","1976","SIMAGA, John"
"3792","
              To study developments which would be helpful in developing and promoting further, the Little Athletics movement in Australia - UK, USA, Canada, Switzerland
            ","1976","SOANE, Bruce"
"3793","
              To visit the leading conifer research centres overseas in order to evaluate the most recent findings and views including the effectiveness of a range of investigatory processes - New Zealand, UK, Sweden, Denmark, Finland, Canada, USA
            ","1976","SQUIRE, Ross"
"3794","
              To observe first hand the work being done at leading burns centres more particularly in respect to children suffering from burns - Denmark, USA
            ","1976","SWIFT OAM, Wendy"
"3795","
              To see in operation various support services for the mentally retarded and their families - USA, UK, Canada, Sweden
            ","1976","TEMBY, Ethel"
"3796","
              To study local government's involvements in the arts - Canada, UK, Sweden, Norway, Denmark, Netherlands, France
            ","1976","TEMPLEMAN AM, Ian"
"3797","
              To investigate overseas developments which have a bearing on, and assist with, the development and future organisation of outer suburban bus services - UK, Germany, Switzerland, Netherlands, Belgium, Canada, USA
            ","1976","USHER OAM, John"
"3798","
              To investigate methods of regulating production from farms in relation to demand through the registration of vineyards and growers - Italy, Germany, France, UK, USA
            ","1976","VITUCCI, Gino"
"3799","
              To study recent overseas developments in cleft palate prosthetic restorations and other ""full-mouth"" restorations necessary following cancer and car accidents - USA, UK, Germany, Switzerland, Liechtenstein
            ","1976","WARMAN, Ian"
"3800","
              To observe latest developments in the organisation, management and procedures adopted in residential riding holiday camps for disabled children - UK, USA
            ","1976","WHIFE, Angela"
"3801","
              To study recent developments in the practical aspects of dental treatment of handicapped children - Canada, USA, UK
            ","1976","WILSON, William"
"3802","
              To study the rules and efficient operation of water resource systems involving more than one storage system in a computer programme involving multiplicity of purpose - USA, UK, Canada
            ","1975","ASHKANASY OAM, Neal"
"3803","
              To study operational techniques in selected fishermen's organisations - USA, Canada, Iceland
            ","1975","BACKLER AM, Ian"
"3804","
              To observe and study latest research findings in the growing, harvesting and by-product extractions from sunflowers and soyabeans - USA, UK, Denmark, Canada
            ","1975","BAILEY, David"
"3805","
              To visit medical physics centres with particular reference to the range of facilities offered and to the use of computers in coronary care and neurophysiology - UK, USA
            ","1975","BLACK, John"
"3806","
              To study overseas developments in health care programmes where a move has been made away from hospital board to community oriented services - UK, USA, Canada, India, Thailand, Fiji, Malaysia,Yugoslavia, Switzerland
            ","1975","BRANN, Joy"
"3807","
              To study developments in cell culture in relation to several metabolic diseases - UK
            ","1975","CARTWRIGHT, Elizabeth"
"3808","
              To investigate trade and technical courses in terms of student assessment, teaching methods, course organisation and staff employment - USA, UK
            ","1975","CATTS, Ralph"
"3809","
              To investigate various methods in bassoon teaching, more particularly in respect of chamber music, repertoire and make of instruments used - USA, UK, Canada, France, Germany
            ","1975","CRAN, John"
"3810","
              To continue studies in oboe playing - Germany, France
            ","1975","CRELLIN, Jeffrey"
